Call Type Group,Neighborhoods - Analysis Boundaries,Avg Dispatch to On Scene Wait Time
Potentially Life-Threatening,Castro/Upper Market,5.445798132503335
Potentially Life-Threatening,Chinatown,6.0125130780498015
Potentially Life-Threatening,Excelsior,6.615369479667687
Potentially Life-Threatening,Financial District/South Beach,6.337264356543533
Potentially Life-Threatening,Glen Park,6.404130747126437
Potentially Life-Threatening,Golden Gate Park,6.359715242881071
Potentially Life-Threatening,Haight Ashbury,5.366510318949343
Potentially Life-Threatening,Hayes Valley,5.66335022263166
Potentially Life-Threatening,Inner Richmond,5.584155455904335
Potentially Life-Threatening,Inner Sunset,5.993981863149217
Potentially Life-Threatening,Japantown,6.215539803707743
Potentially Life-Threatening,Lakeshore,8.020530242472688
Potentially Life-Threatening,Lincoln Park,7.922641509433962
Potentially Life-Threatening,Lone Mountain/USF,5.93932527693857
Potentially Life-Threatening,Marina,6.273510638297873
Potentially Life-Threatening,McLaren Park,7.782222222222222
Potentially Life-Threatening,Mission,5.310113037752415
Potentially Life-Threatening,Mission Bay,6.40276169802219
Potentially Life-Threatening,Nob Hill,5.329037304452467
Potentially Life-Threatening,Noe Valley,5.754424003504161
Potentially Life-Threatening,None,9.258843537414966
Potentially Life-Threatening,North Beach,6.361172161172162
Potentially Life-Threatening,Oceanview/Merced/Ingleside,6.753528945281523
Potentially Life-Threatening,Outer Mission,6.3690579710144934
Potentially Life-Threatening,Outer Richmond,6.508152990682296
Potentially Life-Threatening,Pacific Heights,5.8667065390749595
Potentially Life-Threatening,Portola,6.74475935828877
Potentially Life-Threatening,Potrero Hill,6.0029637377963745
Potentially Life-Threatening,Presidio,8.80929487179487
Potentially Life-Threatening,Presidio Heights,6.09136
Potentially Life-Threatening,Russian Hill,5.9006065857885615
Potentially Life-Threatening,Seacliff,6.453333333333333
Potentially Life-Threatening,South of Market,6.021341787743904
Potentially Life-Threatening,Sunset/Parkside,7.058362102032988
Potentially Life-Threatening,Tenderloin,5.464275619119943
Potentially Life-Threatening,Treasure Island,11.146666666666667
Potentially Life-Threatening,Twin Peaks,7.397691846522782
Potentially Life-Threatening,Visitacion Valley,7.866637089618456
Potentially Life-Threatening,West of Twin Peaks,6.3972912353347136
Potentially Life-Threatening,Western Addition,5.763235897435897
